127, Num of Connected: 0,    connected node id:  
128, Num of Connected: 2,    connected node id:  119,  129,  
129, Num of Connected: 2,    connected node id:  128,  130,  
130, Num of Connected: 2,    connected node id:  129,  131,  
131, Num of Connected: 2,    connected node id:  130,  135,  
132, Num of Connected: 1,    connected node id:  133,  
133, Num of Connected: 2,    connected node id:  132,  134,  
134, Num of Connected: 1,    connected node id:  133,  
135, Num of Connected: 2,    connected node id:  125,  131,  
136, Num of Connected: 1,    connected node id:  147,  
137, Num of Connected: 2,    connected node id:  148,  147,  
138, Num of Connected: 2,    connected node id:  141,  148,  
139, Num of Connected: 0,    connected node id:  
140, Num of Connected: 2,    connected node id:  126,  149,  
141, Num of Connected: 2,    connected node id:  138,  126,  
142, Num of Connected: 1,    connected node id:  151,  
143, Num of Connected: 1,    connected node id:  144,  
144, Num of Connected: 2,    connected node id:  145,  143,  
145, Num of Connected: 2,    connected node id:  144,  146,  
146, Num of Connected: 2,    connected node id:  145,  151,  
147, Num of Connected: 2,    connected node id:  137,  136,  
148, Num of Connected: 2,    connected node id:  138,  137,  
149, Num of Connected: 2,    connected node id:  150,  140,  
150, Num of Connected: 1,    connected node id:  149,  
151, Num of Connected: 3,    connected node id:  152,  146,  142,  
152, Num of Connected: 1,    connected node id:  151,  
153, Num of Connected: 1,    connected node id:  154,  
154, Num of Connected: 2,    connected node id:  155,  153,  
155, Num of Connected: 2,    connected node id:  156,  154,  
156, Num of Connected: 2,    connected node id:  155,  158,  
157, Num of Connected: 1,    connected node id:  159,  
158, Num of Connected: 2,    connected node id:  156,  160,  
159, Num of Connected: 2,    connected node id:  157,  160,  
160, Num of Connected: 2,    connected node id:  158,  159,  
161, Num of Connected: 0,    connected node id:  
162, Num of Connected: 0,    connected node id:  
