0, Num of Connected: 2,    connected node id:  4,  9,  
1, Num of Connected: 3,    connected node id:  175,  118,  159,  
2, Num of Connected: 4,    connected node id:  156,  191,  51,  19,  
3, Num of Connected: 3,    connected node id:  185,  11,  186,  
4, Num of Connected: 3,    connected node id:  0,  46,  69,  
5, Num of Connected: 3,    connected node id:  153,  130,  129,  
6, Num of Connected: 4,    connected node id:  59,  106,  184,  164,  
7, Num of Connected: 4,    connected node id:  186,  159,  185,  175,  
8, Num of Connected: 2,    connected node id:  47,  44,  
9, Num of Connected: 2,    connected node id:  0,  189,  
10, Num of Connected: 2,    connected node id:  21,  12,  
11, Num of Connected: 3,    connected node id:  3,  160,  162,  
12, Num of Connected: 3,    connected node id:  10,  85,  123,  
13, Num of Connected: 2,    connected node id:  14,  22,  
14, Num of Connected: 2,    connected node id:  13,  18,  
15, Num of Connected: 4,    connected node id:  107,  193,  25,  165,  
16, Num of Connected: 1,    connected node id:  55,  
17, Num of Connected: 3,    connected node id:  165,  94,  107,  
18, Num of Connected: 2,    connected node id:  14,  30,  
19, Num of Connected: 2,    connected node id:  2,  118,  
20, Num of Connected: 2,    connected node id:  27,  38,  
21, Num of Connected: 3,    connected node id:  10,  106,  184,  
22, Num of Connected: 2,    connected node id:  13,  29,  
23, Num of Connected: 4,    connected node id:  120,  188,  172,  64,  
24, Num of Connected: 4,    connected node id:  168,  49,  105,  192,  
25, Num of Connected: 4,    connected node id:  161,  168,  15,  192,  
26, Num of Connected: 2,    connected node id:  27,  87,  
27, Num of Connected: 2,    connected node id:  20,  26,  
28, Num of Connected: 4,    connected node id:  173,  56,  59,  188,  
29, Num of Connected: 2,    connected node id:  22,  44,  
30, Num of Connected: 2,    connected node id:  18,  33,  
31, Num of Connected: 3,    connected node id:  34,  145,  187,  
32, Num of Connected: 2,    connected node id:  38,  45,  
33, Num of Connected: 2,    connected node id:  30,  54,  
34, Num of Connected: 2,    connected node id:  31,  143,  
35, Num of Connected: 2,    connected node id:  43,  48,  
36, Num of Connected: 2,    connected node id:  167,  49,  
37, Num of Connected: 4,    connected node id:  187,  160,  145,  174,  
38, Num of Connected: 2,    connected node id:  20,  32,  
39, Num of Connected: 2,    connected node id:  40,  105,  
40, Num of Connected: 4,    connected node id:  46,  42,  39,  69,  
41, Num of Connected: 2,    connected node id:  76,  92,  
42, Num of Connected: 2,    connected node id:  40,  49,  
43, Num of Connected: 2,    connected node id:  47,  35,  
44, Num of Connected: 2,    connected node id:  8,  29,  
45, Num of Connected: 2,    connected node id:  32,  67,  
46, Num of Connected: 2,    connected node id:  4,  40,  
47, Num of Connected: 2,    connected node id:  8,  43,  
48, Num of Connected: 2,    connected node id:  35,  50,  
49, Num of Connected: 3,    connected node id:  24,  42,  36,  
